Comment,Full-Text File ID,referencetype,"Author1","Gender","affiliationauthorprimary1","Current Affiliation,Author,Primary 1","Author,Primary 2","Gender,Author,Primary 2","Affiliation,Author,Primary 2","Current Affiliation,Author,Primary 2","Author,Primary 3","Gender,Author,Primary 3","Affiliation,Author,Primary 3","Current Affiliation,Author,Primary 3","Author,Primary 4","Gender,Author,Primary 4","Affiliation,Author,Primary 4","Current Affiliation,Author,Primary 4","Author,Primary 5","Gender,Author,Primary 5","Affiliation,Author,Primary 5","Current Affiliation,Author,Primary 5","Authors, Secondary",title,Title Secondary,"Title, Tertiary",Original Foreign Title,periodicalfull,date,Original Pub Year,Keywords,Source Genre Folder,"style","Style,Secondary","Style,Tertiary",Abstract,Publisher,Place of Publication,Language,Original Language
,Jones_2006_Jazz polyrhythms,Journal Article,"Jones,Ron",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Jazz Polyrhythms,,,,Jazz Education Journal,2006,2006,70: Pedagogy -- General,Funk & Jazz,Jazz,,,,International Association for Jazz Education,"Manhattan,KS,United States",English,English
,Konttinen_1985_The folk tradition in Finnish jazz and light music,Magazine Article,"Konttinen,Matti",male,freelance/artist,deceased,,,,,,,,,,,,,,,,,,The Folk Tradition in Finnish Jazz and Light Music,,,,Finnish Music Quarterly,1985,1985," Finland -- musical life -- jazz and light music -- influenced by folk music; Paakkunainen, Seppo -- performances -- influenced by Finnish folk music; Kukko, Sakari -- performances -- influenced by Finnish folk music; Vesala, Edward -- performances -- influenced by Finnish folk music; performing groups--popular music -- Karelia; jazz -- Finland -- influenced by folk music; Jazz and blues -- General",Funk & Jazz,Jazz,Finnish folk,,"In the 1970s young Finnish musicians were interested in blending folk musical traditions with jazz and light music, as exemplified in the music of Seppo Paakkunainen, Sakari Kukko, and Edward Vesala, who founded the popular music group known as the Karelia in 1970. In exploring elements of Finnish folk music, such as polyrhythm, improvisation, repetition, and certain tonal characteristics, the musicians saw parallels between these elements and those of jazz. They experimented with both old and innovative musical instruments, and gained familiarity with non-Finnish musical traditions through international travel, films, and commercial recordings.          ",Performing Music Promotion Centre,"Helsinki,Finland",English,English
,Lackowski_2008_'Eulogy'_from AEnima (1996),"Chapter","Lackowski,Rich",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Eulogy': From AEnima (1996),"On the Beaten Path: Progressive Rock, the Drummers Guide to the Genre and the Legends who Defined It",,,,2008,2008,,Rock & Metal,Rock,Metal,Progressive,"This must-have guide for drummers provides insight into the history and development of a wide selection of genres, including funk, alternative/punk rock, metal, progressive rock, classic rock, jam band, fusion, jazz, and reggae, and explores the legendary drummers that affected each style. This book will lead you through the styles, licks, and grooves that made each artist famous, with insight into their approaches, the gear they used, the bands they played in, and the drummers who influenced them. The easy-to-follow lessons delve into authentic transcriptions of 85 infamous beats and solos from songs by Led Zeppelin, The Who, Rush, Metallica, The Police, Dream Theater, and others. Dozens of amazing photos are featured as well as a listing of essential recordings. All the beats and solos that are presented in the book are performed on the accompanying CD. ",Alfred Publishing Company,"Van Nuys,CA,United States",English,English
,Laverne_1987_Dave Brubeck presents pointers on poly-playing,Magazine Article,"Laverne,Andy",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Dave Brubeck Presents Pointers on Poly-Playing,Private Lesson: Jazz Piano,,,Keyboard,1987,1987,"POLYRHYTHM (Music);PIANO;PIANO -- Methods;BRUBECK, Dave",Funk & Jazz,Jazz,,,,Keyboard,"New York City,NY,United States",English,English
,Laverne_2013_5 Ways to play like Dave Brubeck,Magazine Article,"Laverne,Andy",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,5 Ways to Play like Dave Brubeck,Play,,,Keyboard,2013,2013,"Solo Instrument Music;Jazz;Playing Techniques;Musical Approach;Pianists;Jazz Musicians;Brubeck, Dave",Funk & Jazz,Jazz,,,"Jazz pianist Dave Brubeck, who passed away in 2012, was one of the most influential jazz musicians of all time, and his fascination with odd time signatures is evidenced in much of his music. He was also exposed to classical music during his formative music education years. Here, several of Brubeck's signature devices - blues, stride, odd time signatures, polyrhythms and polytonality - are briefly explained and illustrated.","NewBay Media,LLC","New York City,NY,United States",English,English
,Magadini_1978_Polyrhythms_What are they? Why learn them?,Magazine Article,"Magadini,Peter",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Polyrhythms: What Are They? Why Learn Them?,Jazz Drummers' Workshop,,,Modern Drummer,1978,1978,RHYTHM,Funk & Jazz,Jazz,,,An introduction to the theory and performance of polymeters and polyrhythms as applied to 20th-c. music.,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,Magadini_1989_Learning polyrhythms_Part 5,Magazine Article,"Magadini,Peter",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Learning Polyrhythms: Part 5,Understanding Rhythm,,,Modern Drummer,1989,1989,POLYRHYTHM (Music);MUSIC -- Instruction & study;RHYTHM;POLYRHYTHM - Study & Teaching;,Funk & Jazz,Jazz,,,,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,Magadini_1994_Applying polyrhythms to the drumset,Magazine Article,"Magadini,Peter",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Applying Polyrhythms to the Drumset,Jazz Drummers' Workshop,,,Modern Drummer,1994,1994,JAZZ;JAZZ -- Instruction & study;DRUM;PERCUSSION instruments -- Methods,Funk & Jazz,Jazz,,,,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,"Maggin_2005_Bebop rhythm,bebop harmony;The Afro-Cuban jazz revolution","Chapter","Maggin,Donald L.",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Bebop Rhythm/Bebop Harmony;The Afro-Cuban Jazz Revolution,Dizzy: The Life and Times of John Birks Gillespie,,,,2005,2005,"38: Jazz and blues -- General;Gillespie, John Birks (Dizzy) -- life;jazz -- influenced by Gillespie;improvisation -- Gillespie, D;rhythm and meter -- Gillespie, D. -- influence on jazz;harmony -- Gillespie, D. -- influence on jazz;Parker, Charles (Charlie) -- life -- relation to Gillespie;Clarke, Kenny -- life -- relation to Gillespie;Monk, Thelonious -- life -- relation to Gillespie;Christian, Charles (Charlie) -- life -- relation to Gillespie;Bauzá, Mario -- life -- relation to Gillespie;Latin American studies -- jazz, Afro-Cuban -- influenced by Gillespie;performers--jazz and blues -- Gillespie, D;performers--trumpet -- Gillespie, D",Funk & Jazz,Jazz,Afro-Cuban,Bebop,"Dizzy Gillespie has secured his place in the jazz pantheon as one of the most expressive and virtuosic improvisers in the history of music. As one of the primary creators of the bebop and Afro-Cuban revolutions, he twice fundamentally changed the way jazz improvisation was done. Later he extended his revolutionary reach by transforming the aesthetic of big band jazz. Gillespie's saga is chronicled as he moved from the lowest rung on the American social and political ladder to the highest. Born in fiercely racist Cheraw, South Carolina, in 1917, Dizzy climbed out of rural poverty to a role among the Swing Era jazz elite before his 21st birthday. With bebop during the late 1930s and early 1940s, Dizzy and four colleagues-Charlie Parker, Kenny Clarke, Thelonious Monk, and Charlie Christian-radically expanded the rhythmic and harmonic foundations of jazz. Subsequently, Dizzy and Mario Bauzá recast the music during the late 1940s by enriching it with Afro-Cuban polyrhythms. The trumpeter and his colleagues endured a torrent of criticism before their innovations were accepted into the mainstream. These criticisms were undercut by Gillespie's noted warmth and comedic skills, becoming beloved worldwide and achieving a popularity that few modern jazz musicians have ever enjoyed.",HarperEntertainment,"New York City,NY,United States",English,English
,"Maggin_2005_Cubop_Dizzy Gillespie, Chano Pozo, and the Afro-Cuban jazz revolution",Magazine Article,"Maggin,Donald L.",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,"Cubop: Dizzy Gillespie, Chano Pozo, and the Afro-Cuban Jazz Revolution",,,,JazzTimes: America's Jazz Magazine,2005,2005,"Jazz;Ethnic Music: Central America/Caribbean;Cubop;Cultural Influences;Jazz Musicians;Afro-Cuban music;Structural Analysis;Touring Musicians;Tours;Live Performance;Performing Styles;1940s;Timelines;Historical Significance;Pozo, Luciano ""Chano"";Gillespie, Dizzy;Cuba;Machito;Bauzá, Mario",Funk & Jazz,Jazz,Afro-Cuban,,"Historical aspects of the Cubop or Afro-Cuban Jazz movement are discussed with an emphasis on the style's innovators and founders such as Mario Bauzá, Dizzy Gillespie, Francisco Grillo (Machito), and Chano Pozo.  The timeline traces events beginning in 1930s and 40s with the formation of Machito's band the Afro-Cubans, which Bauzá joined in 1941.  Gillespie's pioneering of bebop led him to conga player/composer/dancer Pozo, and the two joined up with Bauzá and Machito in the late 1940s.  The structural changes in jazz and the effects of these changes are discussed through a careful study of Gillespie's innovation of African polyrhythms evident on his various recordings and performances such as ""Mantecca"" and ""Cubana Be, Cubana Bop.""  Other details trace the band's European tour of 1948, when they encountered a North Atlantic storm delaying their arrival, suffered with financial challenges and underminings after arrival, and the success and hysteria brought on by European audiences.  A follow-up tour in America is also briefly discussed when the famous Royal Roost jazz venue was founded.",JazzTimes,"Washington,DC,United States",English,English
,Morgenstein_2005_Double bass drumming_Part 10_Polyrhythmic fills,Magazine Article,"Morgenstein,Rod",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Double Bass Drumming: Part 10: Polyrhythmic Fills,Rock 'n' Jazz Clinic,,,Modern Drummer,2005,2005,Solo Instrument Music;Jazz;Rock Music;Musical Performance;Drumming Techniques;Polyrhythms;Practice Exercises;Double Bass Drums,Rock & Metal,Rock,Jazz,,"Part 10 in a series of articles on double bass drumming is presented, with a focus on polyrhythmic fills. Practice exercises are included.","Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
Merged version,Morgenstein_2009;2010_Polyrhythms_Part 1_Four against ;Part 2_More four against three;Part 3_Four-against-three ride and kick patterns;Part 4_Two-limb four-against-three patterns;Part 5_Superimposed half-time feels;Part 6_Superimposed shuffles,Magazine Article,"Morgenstein,Rod",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Polyrhythms: Part 1: Four against Three,Rock Perspectives,,,Modern Drummer,2009;2010,2009;2010,Solo Instrument Music;Musical Sound Sources;Drumming;Polyrhythms;Practice Exercises;Playing Techniques,Rock & Metal,Rock,,,"In the first article in a series, polyrhythms are highlighted, with a focus on four against three, the most common type. Practice exercises are included. In the second article in a series on polyrhythms, drumming practice exercises are presented for four-against-three and four-over-three patterns. The third article in a series on drumming techniques is presented. Instructions and practice exercises are provided for four-against-three ride and kick patterns. In the fourth article in a series on drumming polyrhythms, instructions are presented for playing two-limb four-against-three patterns. Practice exercises are included. In the fifth part of a series on rock polyrhythms, practice exercises for drummers wanting to learn how to create the illusion of a superimposed half-time feel by applying three basic patters to the four-against three polyrhythm are presented and discussed. In part six of a series of articles about rock drummers playing polyrhythms, the focus is on superimposed shuffles. Musical examples of shuffle patterns using four shuffle grooves are provided.","Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,Neill_2006_Pleasure beats_Rhythm and the aesthetics of current electronic music,Journal Article,"Neill,Ben",male,freelance/artist,Ramapo College,,,,,,,,,,,,,,,,,,Pleasure Beats: Rhythm and the Aesthetics of Current Electronic Music,,,,Leonardo Music Journal,2006,2006," electronic music and computer music -- compared with electronica; electronica -- compared with electronic music and computer music; rhythm and meter -- electronic music and computer music -- compared with electronica; Music and related disciplines -- Philosophy, aesthetics, criticism; Theory, analysis, and composition -- Rhythm, meter, tempo; Theory, analysis, and composition -- Computer and electronic composition",EDM,"Electronic Dance Music",Popular,,"The division between high-art electronic music and pop electronic music is best defined in terms of rhythmic content. Pop electronic music uses repetitive beats, primarily in 4/4 time, but a new generation of composers is working within that structure to create what is essentially the new art music. This phenomenon is an outgrowth of such historical currents as minimalism and postmodernism, along with the continuing development of a global technoculture; it is part of a larger cultural shift in which art is becoming more connected with society rather than being created by and for specialists. This positive development is being accelerated by the rapid evolution of new technologies for producing and reproducing music today, as well as by new possibilities for distribution and dissemination of music electronically.",MIT Press,"Cambridge,MA,United States",English,English
,Newmark_1990_Quintuplet rock,Magazine Article,"Newmark,Andy",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Quintuplet Rock,Rock 'n' Jazz Clinic,,,Modern Drummer,1990,1990,POLYRHYTHM (Music);MUSIC -- Instruction & study;RHYTHM;POLYRHYTHM - Study & Teaching,Rock & Metal,Rock,Jazz,,,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,Payne_2011_Advanced blues_Syncopated and polyrhythmic feels,Journal Article,"Payne,Jim",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Advanced Blues: Syncopated and Polyrhytmic Feels,In the Pocket,,,Modern Drummer,2011,2011,MUSICAL meter & rhythm;DRUM music;BLUES (Music);JAZZ;SYNCOPATION;MUSICAL notation,Funk & Jazz,Jazz,Blues,,The article discusses the concepts of syncopation and polyrhythms in blues drumming. The author tackles first the basics of blues drumming which involves counting using an 8th-note-triplet subdivision. Musical notations are provided to illustrate some examples of patterns reflecting syncopation and polyrhythms. The author also offers recommendations to properly perform blues drumming and describes a variation that uses the standard jazz ride.,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,Peisner_2008_In the studio_Head injury inspires new melodic Mastodon album,Magazine Article,"Peisner,David",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,In the Studio: Head Injury Inspires New Melodic Mastodon Album,,,,Rolling Stone,2008,2008,"Pop Culture;Metal Bands;Heavy Metal Music;Hinds, Brent;Injuries;Record Producers;Rock Music;O'Brien, Brendan;Music Releases;Recording Sessions;Musical Influences;Musical Styles",Rock & Metal,Metal,Classic,,"The recording of metal band Mastodon's fourth album is discussed. The as-yet-titled recording is produced by Brendon O'Brien and contains music inspired by Mastodon's Brent Hinds' violent altercation following the MTV Video Music Awards in September 2007, which resulted in the guitarist/vocalist suffering a serious brain injury. The album, under O'Brien's production, is due out in early 2009, and will contain only seven songs that lean more toward a classic-rock sound than previous Mastodon releases.","Straight Arrow Publishers Company,LP","San Francisco,CA,United States",English,English
,Pennie_2007_Coordination escape plan_Developing independence with ostinatos and polyrhythms,Magazine Article,"Pennie,Chris",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Coordination Escape Plan: Developing Independence with Ostinatos and Polyrhythms,Rock 'n' Jazz Clinic,,,Modern Drummer,2007,2007,DRUM -- Performance;MOTOR ability;EXTREMITIES (Anatomy);DRUMMERS (Musicians);OSTINATO;JAZZ;ROCK music,Funk & Jazz,Rock,Jazz,,The article suggests coordination exercises to develop the independence of the limbs of rock and jazz drummers. The author recommends the use of ostinatos and polyrhythms to create independence. An ostinato is defined as a repeating pattern that is played with one or more limbs. Several drumming patterns that involve playing multiple ostinatos across the kit with all four limbs are presented.,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,"Sargeant_1975_Jazz, hot and hybrid","Book, Whole","Sargeant,Winthrop",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,"Jazz, Hot and Hybrid",,,,,1975,1975, jazz -- history and development; jazz -- criticism; criticism--by subject -- jazz -- by Sargeant; form -- jazz -- analysis; Jazz and blues -- General,Funk & Jazz,Jazz,,,"A noted music critic offers a descriptive treatment of the origins, evolution, forms, and distinctive features of jazz",Da Capo Press,"New York City,NY,United States",English,English
,Shoniker_2012_Metrically modulated drum 'n' bass,Magazine Article,"Shoniker,Andy",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Metrically Modulated Drum 'n' Bass,,,,Modern Drummer,2012,2012,Solo Instrument Music;Rock Music;Jazz;Theory/Analysis/Composition;Drum and Bass;Grooves;Metric Modulation;Polyrhythms;Charts (Musical scores);Drum Music,Funk & Jazz,Rock,Jazz,,The author offers 12 drum 'n' bass grooves that use the three-against-two polyrhythm as the pulse.,"Modern Drummer Publications,Inc","Clifton,NJ,United States",English,English
,Shull_2002_When backward comes out ahead_Lucky Thompson's phrasing and improvisation,Journal Article,"Shull,Tad",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,When Backward Comes out Ahead: Lucky Thompson's Phrasing and Improvisation,,,,Annual Review of Jazz Studies,2002,2002,"JAZZ;JAZZ -- History;MUSIC -- Interpretation (Phrasing, dynamics, etc.);TIME in music;IMPROVISATION (Music);SAXOPHONE -- Methods (Jazz);POLYRHYTHM (Music);JAZZ SOLO;JAZZ - Improvisation;PARKER, Charlie, 1920-1955;THOMPSON, Lucky",Funk & Jazz,Jazz,,,"That backward style. That is how musicians often refer to Eli ""Lucky""  Thompson's playing. His phrasing is the opposite of what one might expect,  they say. His accents fall in the ""wrong"" places, on the ""wrong"" beats,  in the ""wrong"" order. As they speak, their tone mixes awe with irony. Irony,  that is, because his style seems to counter the hip way of phrasing they  worked so hard to cultivate. And awe, because he pulls it off.  Thompson, an eccentric even to admirers, a marginal figure in histories of  jazz, is a master of the tenor and soprano saxophones. (Though still alive at  this writing, Thompson has unfortunately not been active for almost 30 years.)  His career bridged the worlds of the canonical Charlie Parker and John  Coltrane, and he often stood at the cutting edge with both. Thompson's distinctive  rhythmic approach actually grew from and advanced a significant jazz  tradition. Bringing that context back in will help make sense of his ""backward""  style and show how forward looking it really was. Focusing in particular  on his deft use of phrasing tools such as accents, articulation, and timing  can yield some valuable insights on the role they play in jazz improvisation.","Scarecrow Press,Inc","New Brunswick,NJ,United States",English,English
,Trikt_2007_Interview_Jymie Merritt,Magazine Article,"Trikt,Ludwig Van",male,freelance/artist,freelance/artist,,,,,,,,,,,,,,,,,,Interview: Jymie Merritt,,,,Cadence: The Review of Jazz & Blues - Creative Improvised Music,2007,2007,"Blues Music;Jazz;Bassists;Playing Techniques;Double Basses;Jazz Musicians;Careers;Music Education;Polyrhythm;Music Theory;Music Scene;Merritt, Jymie",Funk & Jazz,Jazz,,,"An interview with jazz bassist Merritt is presented. Merritt discusses many subjects, including: (1) his early life and start in music; (2) the types of basses he began playing in the 1950s; (3) his musical education at the Ornstein School of Music and the Hamilton School of Music, and the playing techniques he studied; (4) the many musicians he has played with, including jazz bandleader Art Blakey and blues guitarist/vocalist B. B. King; (5) his theories on polymeter systems in music; and (6) the jazz scene in Philadelphia, Pennsylvania.","CadNor,Ltd","Redwood,NY,United States",English,English
,McCandless_2013_Metal as a gradual process_Additive rhythmic structures in the music of Dream Theater,"Journal, Electronic","McCandless,Gregory",male,Full Sail University,Full Sail University,,,,,,,,,,,,,,,,,,Metal as a Gradual Process: Additive Rhythmic Structures in the Music of Dream Theater,,,,Music Theory Online,2013,2013," Popular music -- General; Theory, analysis, and composition -- Rhythm, meter, tempo",Rock & Metal,Metal,Progressive,,"While the popular genres of progressive rock and heavy metal have received significant scholarly attention, discussions of the syncretic subgenre of progressive metal are rare. Jonathan Pieslak's 2007 article on the music of Meshuggah does much to delimit the stylistic boundaries of the subgenre, noting the importance placed by progressive metal bands and their fans on the rhythmic and metrical complexity of the music. Dream Theater, one of the most visible and commercially successful progressive metal bands, however, has received little scholarly attention to this point. The aim of this article is to describe Dream Theater's unique metrical processes, focusing on a technique that I label the ABAC Additive Metrical Process (ABAC-AMP). The temporally complex examples I analyze in this article, culled from throughout Dream Theater's decades-long career, are compared with techniques of early minimalist composers. The analysis demonstrates Dream Theater's ""progressive"" aesthetic, and it aids in a characterization of the band's sound as possessing a progressive rock center and a heavy metal periphery.",Society for Music Theory,"Bloomington,IN,United States",English,English
,Wilson_2000_Living time_Ancient to the future_Concepts and fantasies of micro- and macro-timing in contemporary jazz,Journal Article,"Wilson,Peter Niklas",male,Hamburg Academy of Music,freelance/artist,,,,,,,,,,,,,,,,,,Living Time: Ancient to the Future. Concepts and Fantasies of Micro-and Macro-Time in Contemporary Jazz,Time and the African-American Experience,,,Amerikastudien/American Studies,2000,2000,,Funk & Jazz,Jazz,African,,"This essay analyzes the temporal structure of recent jazz forms. While some Western musics tend to be directional and show a development, non-Western musics are charactreized by an alternative aesthetic of music as a sound-state without clear beginning or end. While the time concept of earlier jazz differs from most African musics, African roots have been reintegrated into jazz since the late Fifties. The most important temporal structure in recent hazz is polymeter, that is, the simlataneous realizatiion of two or more independent metrical laters. In contemporary African American music, however, musical time ostne conceived as ritualistic and sacred time.",University of Kansas,"Lawrence,KS,United States",English,English
,"Hodson,Buehrer_2004_Metric dissonance in jazz",Journal Article,"Hodson,Robert Dean",male,Hope College,Hope College,"Buehrer,Ted T.",male,Kenyon College,Kenyon College,,,,,,,,,,,,,,Metric Dissonance in Jazz,,,,Jazz Research Proceedings Yearbook: International Association of Jazz Educators,2004,2004,JAZZ;RHYTHM;JAZZ - Rhythm,Funk & Jazz,Jazz,,,"To say that jazz is metrically complex is, at best, an understatement. At its core, jazz gains much of its vitality from the constant tension between strong and weak beats in any given passage. The backbone of jazz rhythm is syncopation-the placement of accented beats or rhythms in typically unaccented locations-and the interplay between multiple layers of both syncopated and unsyncopated rhythmic patterns. As a result, most jazz performances feature a variegated and complex rhythmic texture. While this rhythmic complexity is one of the most characteristic features of  jazz this aspect of jazz is often overlooked in jazz theory and analysis; most jazz theory tends to focus on pitch issues such as harmonic progression, voice leading, motivic development, and so on.   In our paper, we would like to examine this somewhat neglected parameter of jazz music by applying the ideas of metric consonance and dissonance, concepts first developed by music theorist Harald Krebs in his discussion of 19thcentury  music in general, and the music of Robert Schumann in particular. Time and space constraints prohibit us from taking an exhaustive look at the jazz literature from this analytical perspective, so we will focus our attention on selected musical examples of two well-known and, in their own ways, innovative jazz pianists: Thelonious Monk and James P. Johnson. That Monk's career post-dates Johnson's by some 20 years allows us to observe how Monk's approach to the instrument differs from and is similar to Johnson's, and to observe the implications that these similarities and differences  have on the overall metric consonance and dissonance of their respective music. We will conclude with an example by a young Mary Lou Williams that reveals the strong influence of Johnson on her playing style in general and on her approach to rhythm in particular.   Note: ""Abstract"" taken from intro text.",IAJE Publications,"Manhattan,KS,United States",English,English
,Spicer_2004_(Ac)cumulative form in pop-rock music,Journal Article,"Spicer,Mark",male,"Hunter College,The City University of New York","Hunter College,The City University of New York",,,,,,,,,,,,,,,,,,(Ac)cumulative Form in Pop-Rock Music,,,,Twentieth-Century Music,2004,2004,Pop-Rock Music;Compositional Techniques;Musical Analysis;Rock Music;Popular Music;1960s;Technological Trends;Music;1970s;1980s,Rock & Metal,Rock,Progressive,Post-punk,"An essay is presented that examines a variety of compositional procedures that give rise to what the author defines as ""accumulative"" and ""cumulative"" forms in pop-rock music, formal processes which are directly linked to the rapid advances in recording technology that occurred mainly from the late 1960s to the 1980s. It includes detailed transcriptions and analyses of pop-rock music across a wide range of styles and genres, from progressive rock to post-punk to techno.",Cambridge University Press,"Cambridge,United Kingdom;New York City,NY,United States",English,English
,Adams_2008_Aspects of the music-text relationship in rap,"Journal, Electronic","Adams,Kyle",male,Indiana University,Indiana University,,,,,,,,,,,,,,,,,,Aspects of the Music/Text Relationship in Rap,,,,Music Theory Online,2008,2008," Theory, analysis, and composition -- Style analysis",Rap & Hip Hop,Rap,,,"Few scholars of rap music have analyzed rap as they would other forms of Western texted music, by examining the relationship of the music to the text. This article will suggest that this type of analysis of rap is possible, but will argue that since the music in rap is composed before the text is written, we must change our analytical focus to examine not how the music supports the text, but how the text supports the music. I will propose a new analytical method for rap, and use excerpts from A Tribe Called Quest, OutKast, and artists affiliated with them, to show how rappers incorporate rhythms, groupings, and motives from the underlying music into the rhythm of the lyrics.     ",Society for Music Theory,"Bloomington,IN,United States",English,English
,Adams_2009_On the metrical techniques of flow in rap music,"Journal, Electronic","Adams,Kyle",male,Indiana University,Indiana University,,,,,,,,,,,,,,,,,,On the Metrical Techniques of Flow in Rap Music,,,,Music Theory Online,2009,2009," Theory, analysis, and composition -- Rhythm, meter, tempo; Popular music -- General",Rap & Hip Hop,Rap,,,"This article systematically explores the concept of flow in rap music, with the goal of understanding how rappers' uses of flow contribute both to the surface rhythmic vitality of a song and to deeper levels of musical meaning. I will explain the three most significant metrical techniques that constitute a rapper's flow, and give examples of rap songs using each technique. The article concludes with some thoughts on how changes in flow as rap music evolved contributed not only to different style features, but also to value judgments by both rappers and audiences. ",Society for Music Theory,"Bloomington,IN,United States",English,English
,"Williams_1982_Themes composed by jazz musicians of the bebop era_A study of harmony, rhythm, and melody",Dissertation/Thesis,"Williams,James Kent",male,Indiana University,,,,,,,,,,,,,,,,,,,"Themes Composed by Jazz Musicians of the Bebop Era: A Study of Harmony, Rhythm, and Melody",,,,,1982,1982,38: Jazz and blues -- General;jazz -- analysis -- themes -- 1939-59;motive and theme -- jazz -- analysis -- 1939-59;harmony -- jazz -- analysis -- 1939-59;rhythm and meter -- jazz -- analysis -- 1939-59;improvisation -- jazz -- analysis of themes -- 1939-59,Funk & Jazz,Jazz,Bebop,,"Analysis of 200 themes shows that these constitute a highly stylized body of melody in which there is a distinct preference for certain rhythmic patterns over others and a high degree of association between specific rhythmic patterns and pitch contours. Melodic structure in the larger dimensions can usually be explained in terms of the various archetypal schemata, which Leonard B. Meyer and Eugene Narmour have traced through the tonal repertoire of Western art music.",Indiana University,"Bloomington,IN,United States",English,English
,"Wilson_1980_Ragtime_Its roots, style, and influence on twentieth-century music",Dissertation/Thesis,"Wilson,Lawrence",male,Indiana University,,,,,,,,,,,,,,,,,,,"Ragtime: Its Roots, Style, and Influence on Twentieth-Century Music",,,,,1981,1981,"38: Jazz and blues -- General;twentieth-century music -- influenced by ragtime;ragtime -- influences and origin of characteristics;Albright, William -- works -- influenced by ragtime;Auric, Georges -- works -- influenced by ragtime;Bacon, Ernst -- works -- influenced by ragtime;Berlin, Irving -- works -- influenced by ragtime;Carpenter, John Alden -- works -- influenced by ragtime;Copland, Aaron -- style -- influenced by ragtime;Debussy, Claude -- influenced by ragtime;Gould, Morton -- works -- influenced by ragtime;Gruenberg, Louis -- style -- influenced by ragtime;Hindemith, Paul -- works -- influenced by ragtime;Ives, Charles -- works -- influenced by ragtime;Krenek, Ernst -- works -- influenced by ragtime;Lecouna, Ernesto -- works -- influenced by ragtime;Lemont, Cedric Wilmont -- style -- influenced by ragtime;Milhaud, Darius -- works -- influenced by ragtime;Poulenc, Francis -- works -- influenced by ragtime;Epstein, Melvin (Mel Powell) -- works -- influenced by ragtime;Prokof'ev, Sergej Sergeevic -- works -- influenced by ragtime;Satie, Erik -- works -- influenced by ragtime;Stravinsky, Igor -- works -- influenced by ragtime;Tansman, Alexandre -- style -- influenced by ragtime;Thomson, Virgil -- works -- influenced by ragtime;Walton, William -- works -- influenced by ragtime;Weill, Kurt -- works -- influenced by ragtime;Africa -- influence on ragtime",Funk & Jazz,Jazz,Ragtime,African,"Ragtime music incorporated characteristics from Africa (polyrhythms and pentatonic melodies, frequently accompanied on the banjo) and from Europe (the major-minor harmonic system, and the rhythms, meters, and formal structures of 19th-c. social dances and marches). In turn European and American composers, intrigued by ragtime's syncopation, adapted its traits to their own compositions. The author discusses 45 ragtime-related works by the following composers: Albright, Auric, Bacon, Berlin, Carpenter, Copland, Debussy, Gould, Gruenberg, Hindemith, Ives, Krenek, Lecouna, Lemont, Milhaud, Poulenc, Powell, Prokof'ev, Satie, Stravinsky, Tansman, Thomson, Walton, and Weill.",Indiana University,"Bloomington,IN,United States",English,English
